,Activity Date,Activity ID,Activity Name,Activity Type,Elapsed Time,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate,tavg,tmin,tmax,prcp,wdir,wspd,pres
35,2024-09-11,12392565041,Pairs Racing!,Rowing,5778,173.0,87.0,5778.0,5778.0,173.0,141.3251953125,66.4,59.0,75.9,0.043,213.0,7.4,1004.0
36,2024-09-13,12400708537,Morning Row,Rowing,3729,181.0,48.0,3729.0,3689.0,181.0,137.877197265625,66.7,59.0,77.0,0.0,223.0,8.2,1011.8
37,2024-09-14,12409693366,Morning Row,Rowing,8211,202.0,159.0,8211.0,7975.0,202.0,147.95684814453125,64.4,57.0,75.9,0.043,333.0,3.9,1010.0
38,2024-09-19,12451159244,Morning Row,Rowing,1744,157.0,14.0,1744.0,1714.0,157.0,127.97875213623048,68.4,55.9,80.1,0.0,254.0,6.3,1010.6
39,2024-09-17,12451159417,Morning Row,Rowing,4484,167.0,81.0,4484.0,4484.0,167.0,146.5820770263672,64.8,54.0,73.9,0.008,294.0,3.9,1006.3
40,2024-09-20,12459864108,Tech Row and First 2k of the yr 🔥,Rowing,6433,181.0,117.0,6433.0,6433.0,181.0,142.21530151367188,64.9,54.0,77.0,0.0,268.0,6.3,1013.5
41,2024-09-24,12492801365,Morning Row,Rowing,4514,168.0,75.0,4514.0,4499.0,168.0,143.27996826171875,71.2,55.0,89.1,0.0,54.0,3.6,1012.1
42,2024-09-25,12501561676,Morning Row,Rowing,5289,205.0,94.0,5289.0,5233.0,205.0,147.53578186035156,73.2,61.0,90.0,0.059,250.0,9.4,1003.3
43,2024-09-27,12519862449,Leapfrog and 500s 🔥,Rowing,7086,183.0,113.0,7086.0,7086.0,183.0,140.0750732421875,66.4,57.0,79.0,0.0,236.0,5.7,1017.3
44,2024-09-28,12525586663,Morning Row,Rowing,8034,198.0,175.0,8034.0,7846.0,198.0,149.59765625,68.0,51.1,88.0,0.0,4.0,2.6,1011.4
45,2024-09-23,12526421823,30’ Test 😏,Rowing,1923,189.0,106.0,1923.0,1923.0,189.0,173.47894287109375,66.9,53.1,82.0,0.0,347.0,2.8,1017.1
46,2024-09-30,12540980778,Morning Row,Rowing,6391,172.0,142.0,6391.0,6299.0,172.0,151.06190490722656,52.0,37.9,64.9,0.0,347.0,2.8,1029.6
47,2024-10-01,12548723254,Morning Row,Rowing,3925,179.0,86.0,3925.0,3866.0,179.0,151.1746063232422,59.7,42.1,78.1,0.0,273.0,6.2,1020.0
48,2024-09-30,12552250090,~AT~,Rowing,3545,182.0,114.0,3545.0,3545.0,182.0,156.42820739746094,52.0,37.9,64.9,0.0,347.0,2.8,1029.6
49,2024-10-03,12566647617,Morning Row,Rowing,4717,173.0,70.0,4717.0,4612.0,173.0,141.17547607421875,52.5,37.9,70.0,0.0,17.0,1.6,1019.7
50,2024-10-08,12661732809,Morning Row,Rowing,3582,166.0,50.0,3582.0,3383.0,166.0,142.328125,61.0,46.9,80.1,0.0,357.0,1.9,1013.4
