Activity Date,Activity ID,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate
2024-07-30,12023018996,Morning Row,Rowing,3254,"4,259",163.0,33.0,3254.0,3080.0,163.0,137.07650756835938
2024-07-31,12034747857,Morning Row,Rowing,1800,"4,779",180.0,39.0,1800.0,1800.0,180.0,148.82992553710938
2024-08-01,12036739806,Morning Row,Rowing,2677,"7,879",183.0,70.0,2677.0,2631.0,183.0,153.83396911621094
2024-08-31,12293915336,Morning Row,Rowing,7028,"14,894",180.0,104.0,7028.0,6030.0,180.0,143.0952606201172
2024-09-05,12333493571,Morning Row,Rowing,4612,"12,783",194.0,69.0,4612.0,4560.0,194.0,141.9402313232422
2024-09-06,12341436666,Morning Row,Rowing,3458,"9,369",172.0,65.0,3458.0,3345.0,172.0,147.64352416992188
2024-09-07,12367176898,Morning Row,Rowing,7684,"21,761",190.0,141.0,7684.0,7512.0,190.0,147.04127502441406
2024-09-10,12375504183,Morning Row,Rowing,4897,"13,286",172.0,104.0,4897.0,4881.0,172.0,149.26495361328125
2024-09-12,12392485522,Morning Row,Rowing,4679,"12,168",175.0,75.0,4679.0,4600.0,175.0,143.30099487304688
2024-09-11,12392565041,Pairs Racing!,Rowing,5778,0,173.0,87.0,5778.0,5778.0,173.0,141.3251953125
2024-09-13,12400708537,Morning Row,Rowing,3729,"11,276",181.0,48.0,3729.0,3689.0,181.0,137.877197265625
2024-09-14,12409693366,Morning Row,Rowing,8211,"23,520",202.0,159.0,8211.0,7975.0,202.0,147.95684814453125
2024-09-19,12451159244,Morning Row,Rowing,1744,"4,772",157.0,14.0,1744.0,1714.0,157.0,127.97875213623048
2024-09-17,12451159417,Morning Row,Rowing,4484,"11,698",167.0,81.0,4484.0,4484.0,167.0,146.5820770263672
2024-09-20,12459864108,Tech Row and First 2k of the yr 🔥,Rowing,6433,0,181.0,117.0,6433.0,6433.0,181.0,142.21530151367188
2024-09-24,12492801365,Morning Row,Rowing,4514,"12,165",168.0,75.0,4514.0,4499.0,168.0,143.27996826171875
2024-09-25,12501561676,Morning Row,Rowing,5289,"12,668",205.0,94.0,5289.0,5233.0,205.0,147.53578186035156
2024-09-27,12519862449,Leapfrog and 500s 🔥,Rowing,7086,0,183.0,113.0,7086.0,7086.0,183.0,140.0750732421875
2024-09-28,12525586663,Morning Row,Rowing,8034,"23,409",198.0,175.0,8034.0,7846.0,198.0,149.59765625
2024-09-23,12526421823,30’ Test 😏,Rowing,1923,0,189.0,106.0,1923.0,1923.0,189.0,173.47894287109375
2024-09-30,12540980778,Morning Row,Rowing,6391,"17,727",172.0,142.0,6391.0,6299.0,172.0,151.06190490722656
2024-10-01,12548723254,Morning Row,Rowing,3925,"9,987",179.0,86.0,3925.0,3866.0,179.0,151.1746063232422
2024-09-30,12552250090,~AT~,Rowing,3545,0,182.0,114.0,3545.0,3545.0,182.0,156.42820739746094
2024-10-03,12566647617,Morning Row,Rowing,4717,"12,696",173.0,70.0,4717.0,4612.0,173.0,141.17547607421875
2024-10-08,12661732809,Morning Row,Rowing,3582,"8,396",166.0,50.0,3582.0,3383.0,166.0,142.328125
